Hafta, Tarih, Vaka Sayısı(100binde)
6,8-14 Şubat 2021,40.92
7,15-21 Şubat 2021,44.28
8,20-26 Şubat 2021,46.35
9,27 Şubat-5 Mart 2021,53.22
10,6-12 Mart 2021,92.66
11,13-19 Mart 2021,140.54
12,20-26 Mart 2021,283.32
13,27 Mart-2 Nisan 2021,373.87
14,3-9 Nisan 2021,504.00
15,10-16 Nisan 2021,563.79
16,17-23 Nisan 2021,540.59
17,24-30 Nisan 2021,320.04
18,1-7 Mayıs 2021,205.05
19,8-14 Mayıs 2021,104.45
20,15-21 Mayıs 2021,90.06
21,22-28 Mayıs 2021,73.43
22,29 Mayıs - 4 Haziran 2021,77.68
23,5-11 Haziran 2021,55.82
24,12-18 Haziran 2021,50.36
25,19-25 Haziran 2021,43.29
26,26 Haziran-2 Temmuz 2021,41.31
27,3-9 Temmuz 2021,32.00
28,10-16 Temmuz 2021,27.51
29,17-23 Temmuz 2021,45.68
30,24-30 Temmuz 2021,89.56
31,31 Temmuz - 6 Ağustos 2021,147.12
32,7-13 Ağustos 2021,176.14
33,14-20 Ağustos 2021,148.23
34,21-27 Ağustos 2021,181.11
35,28 Ağustos - 3 Eylül 2021,268.31
