Yıl,Ay,İthalat ($)
2013,01-Ocak,5740833
2013,02-Şubat,7080867
2013,03-Mart,5664631
2013,04-Nisan,3751980
2013,05-Mayıs,2680979
2013,06-Haziran,6329605
2013,07-Temmuz,7230816
2013,08-Ağustos,5211496
2013,09-Eylül,3484319
2013,10-Ekim,15440548
2013,11-Kasım,4205663
2013,12-Aralık,10726538
2014,01-Ocak,7991206
2014,02-Şubat,7124174
2014,03-Mart,6475475
2014,04-Nisan,6184600
2014,05-Mayıs,8321416
2014,06-Haziran,7712468
2014,07-Temmuz,5007955
2014,08-Ağustos,10106612
2014,09-Eylül,8967593
2014,10-Ekim,4309152
2014,11-Kasım,6809607
2014,12-Aralık,7756538
2015,01-Ocak,6853481
2015,02-Şubat,6729886
2015,03-Mart,5561385
2015,04-Nisan,8073213
2015,05-Mayıs,6439646
2015,06-Haziran,6932266
2015,07-Temmuz,5170893
2015,08-Ağustos,4390136
2015,09-Eylül,3636280
2015,10-Ekim,4478673
2015,11-Kasım,4121827
2015,12-Aralık,10735852
2016,01-Ocak,10913717
2016,02-Şubat,8065405
2016,03-Mart,7891484
2016,04-Nisan,8477622
2016,05-Mayıs,7470766
2016,06-Haziran,7587976
2016,07-Temmuz,4028164
2016,08-Ağustos,5609027
2016,09-Eylül,6199088
2016,10-Ekim,12036524
2016,11-Kasım,5845528
2016,12-Aralık,4767802
2017,01-Ocak,5872312
2017,02-Şubat,7055008
2017,03-Mart,10301748
2017,04-Nisan,8746077
2017,05-Mayıs,14589025
2017,06-Haziran,14403012
2017,07-Temmuz,8312355
2017,08-Ağustos,8609121
2017,09-Eylül,5324445
2017,10-Ekim,14331922
2017,11-Kasım,9612310
2017,12-Aralık,18734346
2018,01-Ocak,8839545
2018,02-Şubat,11020596
2018,03-Mart,10557046
2018,04-Nisan,13185526
2018,05-Mayıs,9535822
2018,06-Haziran,9304629
2018,07-Temmuz,8250740
2018,08-Ağustos,4498780
2018,09-Eylül,5509015
2018,10-Ekim,10511992
2018,11-Kasım,5081625
2018,12-Aralık,6116821
2019,01-Ocak,5684169
2019,02-Şubat,5928863
2019,03-Mart,9011826
2019,04-Nisan,6904807
2019,05-Mayıs,9904883
2019,06-Haziran,6484542
2019,07-Temmuz,9651442
2019,08-Ağustos,6923931
2019,09-Eylül,6349635
2019,10-Ekim,6010810
2019,11-Kasım,10699119
2019,12-Aralık,10634860
2020,01-Ocak,15045035
2020,02-Şubat,13009722
2020,03-Mart,10446806
2020,04-Nisan,8388889
2020,05-Mayıs,5658973
2020,06-Haziran,7839001
2020,07-Temmuz,8279750
2020,08-Ağustos,9655236
2020,09-Eylül,6011133
2020,10-Ekim,11941498
2020,11-Kasım,9929189
2020,12-Aralık,9295193
2021,01-Ocak,9504456
